file_name,module,category,size_bytes,selected_sheet_export,automation_asset
Submission_Build_v4.2/10_Pilot_Automation/run_dataset_release_guarded_oneclick.bat,10_Pilot_Automation,batch,527,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_dataset_release_guarded_oneclick.sh,10_Pilot_Automation,shell,444,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_freeze_kit_oneclick.bat,10_Pilot_Automation,batch,394,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_freeze_kit_oneclick.sh,10_Pilot_Automation,shell,347,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_ios_capture_contract_validation_oneclick.bat,10_Pilot_Automation,batch,298,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_ios_capture_contract_validation_oneclick.sh,10_Pilot_Automation,shell,274,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_multisite_weekly_report_oneclick.bat,10_Pilot_Automation,batch,344,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_multisite_weekly_report_oneclick.sh,10_Pilot_Automation,shell,301,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_pre_freeze_gates_oneclick.bat,10_Pilot_Automation,batch,334,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_pre_freeze_gates_oneclick.sh,10_Pilot_Automation,shell,335,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_privacy_content_guardrails_v2_oneclick.bat,10_Pilot_Automation,batch,365,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_privacy_content_guardrails_v2_oneclick.sh,10_Pilot_Automation,shell,366,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_privacy_guardrails_consistency_oneclick.bat,10_Pilot_Automation,batch,308,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_privacy_guardrails_consistency_oneclick.sh,10_Pilot_Automation,shell,284,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_privacy_live_guardrails_oneclick.bat,10_Pilot_Automation,batch,355,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_privacy_live_guardrails_oneclick.sh,10_Pilot_Automation,shell,329,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_record_level_gates_oneclick.bat,10_Pilot_Automation,batch,295,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_record_level_gates_oneclick.sh,10_Pilot_Automation,shell,271,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_stand_pose_drift_dashboard_oneclick.bat,10_Pilot_Automation,batch,344,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_stand_pose_drift_dashboard_oneclick.sh,10_Pilot_Automation,shell,345,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_sync_validation_oneclick.bat,10_Pilot_Automation,batch,331,no,yes
Submission_Build_v4.2/10_Pilot_Automation/run_sync_validation_oneclick.sh,10_Pilot_Automation,shell,296,no,yes
Submission_Build_v4.2/10_Pilot_Automation/sample/golden_record_contract_v1/manifest.csv,10_Pilot_Automation,csv,110,no,yes
Submission_Build_v4.2/10_Pilot_Automation/sample/golden_record_contract_v1/records/R000001/meta.json,10_Pilot_Automation,json,1636,no,yes
